Name,Damage/Pellet,Pierce,Pellets/shot,Rate of Fire,Capacity,Reload Time
CM 505;[180.0, 390.0, 585.0];[3.0, 3.0, 3.0];1;11 rps;210;4.3 sec
RIA 45 Para;[210.0, 390.0, 585.0];[3.0, 3.0, 3.0];1;8 rps;120;3.4 sec
Tombstone;[210.0, 300.0, 450.0];[2.0, 2.0, 2.0];2;6;200;2.8 sec
Proposition;[350.0, 750.0, 1125.0];[3.0, 3.0, 3.0];1;13 rps;300;5 sec
HVM 008;[160.0, 320.0, 480.0];[3.0, 3.0, 3.0];1;7 rps;180;4.1 sec
Z-5 Heavy;[90.0, 90.0, 90.0];[2.0, 2.0, 2.0];1;8.0 rps;100;3.50 sec
RIA 40;[200.0, 385.0, 577.5];[3.0, 3.0, 3.0];1;8 rps;160;3.5 sec
Ronson LBM;[300.0, 500.0, 750.0];[4.0, 4.0, 4.0];1;6;90;3.6 sec
Supermarine;[220.0, 480.0, 720.0];[3.0, 3.0, 3.0];1;15 rps;180;3.4 sec
RIA T40;[340.0, 550.0, 825.0];[2.0, 2.0, 2.0];1;8 rps;120;4.2 sec
CM 530 BabyCOM;[200.0, 420.0, 630.0];[6.0, 6.0, 6.0];1;12 rps;60;3 sec
